GEOID,population,population_density,area,natural_green_field,natural_beach,natural_water,natural_other,landuse_transportation,landuse_commercial,landuse_construction,landuse_agriculture,landuse_greenfield,landuse_residential,landuse_brownfield,landuse_education,landuse_office,landuse_public_area,landuse_other,landuse_industrial,building_restaurant,building_residential,building_school,building_transportation hub,building_other,building_health,building_industrial,building_parking,building_fuel,building_transit,building_bank,building_religious,building_commercial,building_tourism,building_shop,building_agriculture,building_sport,building_office,building_leisure,point_school,point_restaurant,point_parking,point_religious,point_residential,point_tourism,point_traffic_signal,point_bank,point_transit,point_transportation_hub,point_sport,point_shop,point_fuel,point_leisure,point_commercial,point_industrial,point_office,point_healthcare,main_road_line,residential_line,other_road_line
0,82196,2.3480999319255065,3.5005324467854746,0.0,0.0,0.01110948305405931,0.0,0.0,0.027208354235004034,0.10578287928771726,0.00023207246540414583,0.007500417109476652,0.3971843656748354,0.0,0.0,0.0,0.01111595586968512,0.0,0.07153547954802435,0.00019042529088377243,0.4837739412548679,0.15659844270554063,0.0,3.030560823811577,0.0,0.018452934230471348,0.02578630782005291,0.00027782285797657184,0.00017463043019948855,0.0,0.00206485386622955,0.005321421790062368,7.791449702341553e-05,3.607412080487309e-05,0.0,0.030270198189712064,0.00010463483022989933,0.07581103899846053,0.079987831638905,0.09998478954863124,0.0885579564573591,0.0,0.0,0.0028567082728180354,0.21425312046135264,0.02571037445536232,0.20568299564289855,0.0028567082728180354,0.05142074891072464,0.1371219970952657,0.005713416545636071,0.12283845573117552,0.02571037445536232,0.0028567082728180354,0.07427441509326892,0.008570124818454107,0.005864828579763805,0.003942270439332769,0.04165278808168137
1,96,0.0024335761585869923,3.94481182194604,0.08699051334536585,0.0,0.12807858540321865,0.0,0.0,0.0,0.0,0.0,0.06493718267250045,0.05133094348470418,0.0,0.0,0.0,0.0003995956998350383,0.5587036307997738,0.036736804991353664,0.0,0.0,0.0012491727065943863,0.0,3.0401707280307306,0.0,0.0,0.0,0.0,0.0,0.0,0.00019998493458920692,0.0,0.0,0.0,0.0,0.0,0.0,0.001847656234514241,0.0025349751651947854,0.0,0.0,0.0,0.0,0.0,0.0177448261563635,0.0,0.015209850991168714,0.0,0.0025349751651947854,0.007604925495584357,0.0,0.0025349751651947854,0.0,0.0,0.0,0.0,0.003137893186528017,0.000787729365322677,0.009688605012080605
2,98070,2.265764989992386,4.328339454143015,0.006584780327387109,0.0,0.0033696052019818747,0.0,0.0,0.01801922964052493,0.0009493268164741889,0.002952844442201726,0.006510431571442884,1.0659925428153112,0.0,0.001662087865579884,0.0,0.00043517468501174625,0.011722461058428871,0.04913630123442117,0.0,0.04898457546877317,0.055005317423291046,0.0007932831480310588,3.2662952363689888,0.0022966566511796755,0.023180986170863397,0.001109717808738826,0.0010361768021685922,0.0,0.00015494848249375434,0.0043285835330801655,0.007352656087194095,0.0010955477759540806,0.0005500111168251816,0.0,0.005095244425394224,0.0016409983541175806,0.01886638456343352,0.03465532257559486,0.15941448384773635,0.009241419353491962,0.011551774191864954,0.0069310645151189725,0.020793193545356917,0.07855206450468169,0.016172483868610935,0.20331122577682317,0.0,0.025413903222102897,0.27724258060475887,0.0023103548383729905,0.10858667740353056,0.0069310645151189725,0.0,0.05544851612095178,0.016172483868610935,0.005970076859145781,0.009747037772373306,0.030978009534604417
3,283,0.007756748221359874,3.648436070423153,0.010448041898245965,0.0,0.028405932399347147,0.0,0.0,0.004039024610557264,0.0,0.19406896983169125,0.054858077192334036,0.028406766732742957,0.0,0.0,0.0,0.0,0.0,0.08195087805400762,3.806255439107958e-05,0.0,0.0,0.0,3.034809332405674,0.0,0.04176792249501005,0.007080094040084999,0.0,0.0,0.0,0.0,0.0075840948045101724,0.0,0.0,0.0,0.00037680906506712473,0.0018044784355889432,0.013253809096350589,0.002740900431575945,0.030149904747335393,0.18089942848401236,0.0,0.0,0.019186303021031612,0.024668103884183504,0.0,0.060299809494670786,0.01096360172630378,0.0,0.01096360172630378,0.002740900431575945,0.030149904747335393,0.0,0.00548180086315189,0.013704502157879724,0.0,0.005326747851615892,0.0009105773049212837,0.01903400674988191
4,16942,0.48512612451853016,3.4922877049374144,0.059097317016708034,0.00017974947484113895,0.0017520367563084705,0.0,0.0,0.0014648411411342863,0.11794753033623917,0.009860552942154644,0.24300190534943386,0.3084417517283459,0.0,0.002674263878699165,0.0,0.0,0.0,0.0,0.00031606530439403437,0.027917135538179837,0.01706652059157911,4.523929021345836e-05,3.076507133020914,0.0,0.0002812695481695462,0.0034548422635490763,8.930559744246678e-05,0.0,0.0,0.0,0.0,0.0,0.0025573828035520114,0.0,0.03309652028759796,0.0005076673440236885,0.013341654724649857,0.014317262558096169,0.03149797762781157,0.002863452511619234,0.002863452511619234,0.002863452511619234,0.011453810046476935,0.017180715069715403,0.0,0.02290762009295387,0.0,0.011453810046476935,0.048678692697526976,0.0,0.07444976530210008,0.005726905023238468,0.0,0.005726905023238468,0.005726905023238468,0.003529259699173645,0.005152188912657888,0.016496907780534784
5,270,0.005168306224902825,5.224148652396783,0.04104939239894466,0.0,0.02016240634609818,0.0,0.051103829129187484,0.0,0.013348276523448272,1.916337113290146e-05,0.4814000889210872,0.0,0.0,0.0,0.0,0.0008573892039574484,0.22187926909367456,0.09570272860520607,7.761395823804392e-05,0.0,0.0,0.0,3.0278418311657793,0.0,0.02787511674490976,0.006167160429122531,0.00021589671115291085,0.0,0.0,0.00021493338966672713,0.0013144282620059608,0.0,0.0004552632801536852,0.0,0.0,0.0001165129076494026,0.0009574198227825488,0.0019141874907047647,0.0019141874907047647,0.0,0.0,0.0,0.005742562472114294,0.015313499925638118,0.0,0.05168306224902865,0.0,0.0,0.005742562472114294,0.0,0.007656749962819059,0.0,0.005742562472114294,0.0038283749814095294,0.0,0.0032736985699202015,0.0003075849097050331,0.023692283650195937
6,44875,1.075745645723828,4.171525134996511,0.811780773452842,0.0,0.02236158299229814,0.0,0.0,0.004112370493165658,0.0,0.002599863438920582,0.0591445320619312,0.039451781235983654,0.0,0.0,0.0005352636505547083,0.005512615998582946,0.0,0.0,0.0004037654004699842,0.02519638115582257,0.002275796024176409,0.00012730124243701352,3.008260498932048,6.434408593380665e-05,0.0,0.003530734170589694,0.0,0.0,0.0,0.0017862578082500405,0.0,0.0004033955206854768,0.000920012488189851,0.0,0.0006991554065842056,0.0001177734016079806,0.7882609110643226,0.007191614344671829,0.014383228689343658,0.007191614344671829,0.0023972047815572764,0.0023972047815572764,0.23972047815572764,0.031163662160244594,0.004794409563114553,0.028766457378687316,0.0,0.014383228689343658,0.028766457378687316,0.0,0.06472452910204646,0.0,0.0,0.009588819126229105,0.0,0.0026534020756509955,0.0009924623467392505,0.015879340947932318
7,0,0.0,3.4758967288585314,0.0,0.0,0.059486896398405195,0.0,0.0,0.0,0.0,0.0,0.7580266820488128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.883015873263564,0.0,0.0,0.012778663743187833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036562120214682267,0.0,0.0,0.0,0.0,0.0,0.0,0.01726173263487711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007281661954435044,1.0857996914584508e-05,0.008161273508671015
8,673,0.015228420924560546,4.419368254489072,0.014006324388406028,0.0,0.00417150995518319,0.0,0.08681586853261264,0.005048075918797152,0.0,0.0,0.771757972822868,0.0,0.0,0.0,0.0,0.0,0.014006324388406028,0.0,0.0,0.0,0.0,0.0,3.041199267481252,0.0,0.0,0.00034903667317795126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006057565287447398,0.07081804412951617,0.0,0.0,0.0,0.0,0.0,0.0,0.011313834267875657,0.0,0.01357660112145079,0.0,0.0,0.0,0.0,0.004525533707150264,0.0,0.0,0.0,0.0,0.0034113537609785334,0.0003357822433124493,0.016063509025373606
9,58118,1.4946141113116607,3.88849533536092,0.0029760778751920674,0.0,0.015510162629906253,0.0,0.0,0.00039257772251184833,0.028726048658882987,0.0005227016171500413,0.22209133456396443,0.3691265606320586,0.0,0.0,0.0,0.002734231642629892,0.0,0.080253005180729,0.0,0.05859849912164674,0.037675983989418474,0.001123210186175531,3.1010199105004417,0.0,0.0005052776515304654,0.013918105325080775,0.0007336193668225008,0.00015648289506420984,0.0001543217998445332,0.025527932788025863,0.011082935074905995,0.0030554761359156434,0.0059261611428502725,0.0,0.0066780145597685695,1.4083498553781385e-05,0.28311833522363117,0.0771506647499051,0.22116523894972795,0.08743742004989244,0.010286755299987346,0.005143377649993673,0.05143377649993673,0.18773328422476906,0.025716888249968366,0.17487484009978488,0.0,0.028288577074965203,0.3137460366496141,0.0025716888249968364,0.19287666187476274,0.010286755299987346,0.005143377649993673,0.08229404239989876,0.04114702119994938,0.005410751534013569,0.0055888865384309755,0.036115547302419594
