BUS_SERVICE_NAME_TXT,OPR_DESC_TXT,ORIG_DEST_TXT,BUS_DIRCTN_TXT,BUS_ROUTE_SEQ_NUM,BUS_STOP_CD,BUS_STOP_DESC_TXT,RD_NAM_TXT,LONGTD_TXT,LATTD_TXT,OP_HR_TXT,FARE_TXT
PBS from Grande Vista to Yio Chu Kang/Ang Mo Kio MRT Stations (loop),The Management Corporation Strata Title Plan No. 1895,Cactus Drive - Ang Mo Kio Avenue 6/Ang Mo Kio Avenue 8,1,1,-,Grande Vista Condomium ,Cactus Drive,103.852418,1.388806,"Monday to Fridays (excluding Public Holidays)
6.15am to 8.30am/30 to 45 minutes (supplementary trips in operation)
9.00am to 12.45pm/45 to 60 minutes
3.15pm to 5.15pm/60 minutes
6.15pm to 6.45pm/30 minutes

Saturday and Sunday (excluding Public Holidays)
7.00am to 12.45pm/45 to 60 minutes
3.15pm to 7.45pm/30 to 60 minutes

Only supplementary trips operated during morning peak hours on weekdays will serve BS 55309
Yio Chu Kang Station is not served by the supplementary trips operated during morning peak hours on weekdays, as well as scheduled trips at 12.45pm and after 6.00pm.
BS 54399 is not served by the supplementary trips operated during morning peak hours on weekdays and scheduled trip at 7.00am on weekends.", $2.20 per adult per trip; $1.60 per child/ student/ senior citizen per trip 
PBS from Grande Vista to Yio Chu Kang/Ang Mo Kio MRT Stations (loop),The Management Corporation Strata Title Plan No. 1896,Cactus Drive - Ang Mo Kio Avenue 6/Ang Mo Kio Avenue 9,1,2,55309,Opp Ang Mo Kio Police Division Headquarters,Ang Mo Kio Avenue 9,103.8444475,1.384083333,"Monday to Fridays (excluding Public Holidays)
6.15am to 8.30am/30 to 45 minutes (supplementary trips in operation)
9.00am to 12.45pm/45 to 60 minutes
3.15pm to 5.15pm/60 minutes
6.15pm to 6.45pm/30 minutes

Saturday and Sunday (excluding Public Holidays)
7.00am to 12.45pm/45 to 60 minutes
3.15pm to 7.45pm/30 to 60 minutes

Only supplementary trips operated during morning peak hours on weekdays will serve BS 55309
Yio Chu Kang Station is not served by the supplementary trips operated during morning peak hours on weekdays, as well as scheduled trips at 12.45pm and after 6.00pm.
BS 54399 is not served by the supplementary trips operated during morning peak hours on weekdays and scheduled trip at 7.00am on weekends.", $2.20 per adult per trip; $1.60 per child/ student/ senior citizen per trip 
PBS from Grande Vista to Yio Chu Kang/Ang Mo Kio MRT Stations (loop),The Management Corporation Strata Title Plan No. 1895,Cactus Drive - Ang Mo Kio Avenue 6/Ang Mo Kio Avenue 10,1,3,-,PUDO point at Yio Chu Kang MRT Station ,Ang Mo Kio Avenue 8,103.844916,1.375517,"Monday to Fridays (excluding Public Holidays)
6.15am to 8.30am/30 to 45 minutes (supplementary trips in operation)
9.00am to 12.45pm/45 to 60 minutes
3.15pm to 5.15pm/60 minutes
6.15pm to 6.45pm/30 minutes

Saturday and Sunday (excluding Public Holidays)
7.00am to 12.45pm/45 to 60 minutes
3.15pm to 7.45pm/30 to 60 minutes

Only supplementary trips operated during morning peak hours on weekdays will serve BS 55309
Yio Chu Kang Station is not served by the supplementary trips operated during morning peak hours on weekdays, as well as scheduled trips at 12.45pm and after 6.00pm.
BS 54399 is not served by the supplementary trips operated during morning peak hours on weekdays and scheduled trip at 7.00am on weekends.", $2.20 per adult per trip; $1.60 per child/ student/ senior citizen per trip 
PBS from Grande Vista to Yio Chu Kang/Ang Mo Kio MRT Stations (loop),The Management Corporation Strata Title Plan No. 1895,Cactus Drive - Ang Mo Kio Avenue 6/Ang Mo Kio Avenue 11,1,4,54399,Before Ang Mo Kio Station Exit B,Ang Mo Kio Avenue 8,103.8486611,1.371373023,"Monday to Fridays (excluding Public Holidays)
6.15am to 8.30am/30 to 45 minutes (supplementary trips in operation)
9.00am to 12.45pm/45 to 60 minutes
3.15pm to 5.15pm/60 minutes
6.15pm to 6.45pm/30 minutes

Saturday and Sunday (excluding Public Holidays)
7.00am to 12.45pm/45 to 60 minutes
3.15pm to 7.45pm/30 to 60 minutes

Only supplementary trips operated during morning peak hours on weekdays will serve BS 55309
Yio Chu Kang Station is not served by the supplementary trips operated during morning peak hours on weekdays, as well as scheduled trips at 12.45pm and after 6.00pm.
BS 54399 is not served by the supplementary trips operated during morning peak hours on weekdays and scheduled trip at 7.00am on weekends.", $2.20 per adult per trip; $1.60 per child/ student/ senior citizen per trip 
PBS from Grande Vista to Yio Chu Kang/Ang Mo Kio MRT Stations (loop),The Management Corporation Strata Title Plan No. 1895,Cactus Drive - Ang Mo Kio Avenue 6/Ang Mo Kio Avenue 12,1,5,-,Grande Vista Condomium ,Cactus Drive,103.852418,1.388806,"Monday to Fridays (excluding Public Holidays)
6.15am to 8.30am/30 to 45 minutes (supplementary trips in operation)
9.00am to 12.45pm/45 to 60 minutes
3.15pm to 5.15pm/60 minutes
6.15pm to 6.45pm/30 minutes

Saturday and Sunday (excluding Public Holidays)
7.00am to 12.45pm/45 to 60 minutes
3.15pm to 7.45pm/30 to 60 minutes

Only supplementary trips operated during morning peak hours on weekdays will serve BS 55309
Yio Chu Kang Station is not served by the supplementary trips operated during morning peak hours on weekdays, as well as scheduled trips at 12.45pm and after 6.00pm.
BS 54399 is not served by the supplementary trips operated during morning peak hours on weekdays and scheduled trip at 7.00am on weekends.", $2.20 per adult per trip; $1.60 per child/ student/ senior citizen per trip 
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,1,66589,Buangkok Sports Park,Buangkok Crescent,103.8794283,1.381995514,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,2,66579,Blk 998B,Buangkok Crescent,103.8807041,1.384029735,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,3,66569,Opposite Blk 991B,Buangkok Link,103.8826279,1.383266488,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,4,66549,Opposite Blk 980C,Buangkok Link,103.8816728,1.380298306,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
PBS 525,Deconti Trans,Buangkok Crescent to Marina Boulevard,1,5,64099,Hougang Secondary School,Hougang Street 93,103.8815725,1.377879324,One trip at 8.30am," Adult: $5.00 (cash)
Student/Child/Senior Citizen: $4.00 (cash) "
