experiment_id,module,param,r01_value,new_value,changed_vs_r01,is_allowed_diff
F05,changeMode,ignoreCarAvailability,true,true,False,False
F05,changeMode,modeSwitchBehavior,fromSpecifiedModesToSpecifiedModes,fromSpecifiedModesToSpecifiedModes,False,False
F05,changeMode,modes,"car,pt","car,pt",False,False
F05,controller,cleanItersAtEnd,keep,keep,False,False
F05,controller,compressionType,gzip,gzip,False,False
F05,controller,createGraphsInterval,0,0,False,False
F05,controller,createScoringFunctionType,IterationStarts,IterationStarts,False,False
F05,controller,dumpDataAtEnd,true,true,False,False
F05,controller,enableLinkToLinkRouting,false,false,False,False
F05,controller,eventsFileFormat,xml,xml,False,False
F05,controller,firstIteration,0,0,False,False
F05,controller,lastIteration,19,19,False,False
F05,controller,legDurationsInterval,1,1,False,False
F05,controller,legHistogramInterval,1,1,False,False
F05,controller,memoryObserverInterval,60,60,False,False
F05,controller,mobsim,qsim,qsim,False,False
F05,controller,outputDirectory,D:\Luan\2026-05\2_Singapore\matsim_routechoice_7_6d\outputs\R01_rc_min,D:\Luan\2026-05\2_Singapore\matsim_demand_7_6f_1\outputs\F05_rc_min,True,True
F05,controller,overwriteFiles,deleteDirectoryIfExists,deleteDirectoryIfExists,False,False
F05,controller,routingAlgorithmType,SpeedyALT,SpeedyALT,False,False
F05,controller,runId,R01_rc_min,F05_rc_min,True,True
F05,controller,snapshotFormat,,,False,False
F05,controller,writeEventsInterval,0,0,False,False
F05,controller,writePlansInterval,0,0,False,False
F05,controller,writeSnapshotsInterval,0,0,False,False
F05,controller,writeTripsInterval,0,0,False,False
F05,counts,analyzedModes,car,car,False,False
F05,counts,averageCountsOverIterations,5,5,False,False
F05,counts,countsScaleFactor,1.0,1.0,False,False
F05,counts,distanceFilter,null,null,False,False
F05,counts,distanceFilterCenterNode,null,null,False,False
F05,counts,filterModes,false,false,False,False
F05,counts,inputCRS,null,null,False,False
F05,counts,inputCountsFile,null,null,False,False
F05,counts,outputformat,txt,txt,False,False
F05,counts,writeCountsInterval,10,10,False,False
F05,dsim,endTime,24:00:00,24:00:00,False,False
F05,dsim,linkDynamics,PassingQ,PassingQ,False,False
F05,dsim,networkModes,car,car,False,False
F05,dsim,partitioning,bisect,bisect,False,False
F05,dsim,startTime,00:00:00,00:00:00,False,False
F05,dsim,stuckTime,30.0,30.0,False,False
F05,dsim,threads,0,0,False,False
F05,dsim,trafficDynamics,kinematicWaves,kinematicWaves,False,False
F05,dsim,vehicleBehavior,teleport,teleport,False,False
F05,eventsManager,estimatedNumberOfEvents,null,null,False,False
F05,eventsManager,eventsQueueSize,131072,131072,False,False
F05,eventsManager,numberOfThreads,null,null,False,False
F05,eventsManager,oneThreadPerHandler,false,false,False,False
F05,eventsManager,synchronizeOnSimSteps,true,true,False,False
F05,facilities,facilitiesSource,none,none,False,False
F05,facilities,idPrefix,f_auto_,f_auto_,False,False
F05,facilities,inputCRS,null,null,False,False
F05,facilities,inputFacilitiesFile,null,null,False,False
F05,facilities,inputFacilityAttributesFile,null,null,False,False
F05,facilities,insistingOnUsingDeprecatedFacilitiesAttributeFile,false,false,False,False
F05,global,coordinateSystem,EPSG:3414,EPSG:3414,False,False
F05,global,defaultDelimiter,;,;,False,False
F05,global,insistingOnDeprecatedConfigVersion,true,true,False,False
F05,global,numberOfThreads,8,8,False,False
F05,global,randomSeed,4711,4711,False,False
F05,hermes,endTime,30:00:00,30:00:00,False,False
F05,hermes,flowCapacityFactor,1.0,1.0,False,False
F05,hermes,mainMode,car,car,False,False
F05,hermes,storageCapacityFactor,1.0,1.0,False,False
F05,hermes,stuckTime,10,10,False,False
F05,hermes,useDeterministicPt,false,false,False,False
F05,households,inputFile,null,null,False,False
F05,households,inputHouseholdAttributesFile,null,null,False,False
F05,households,insistingOnUsingDeprecatedHouseholdsAttributeFile,false,false,False,False
F05,linkStats,averageLinkStatsOverIterations,1,1,False,False
F05,linkStats,writeLinkStatsInterval,1,1,False,False
