module,param,baseline_value,new_value,changed,is_target_patch
changeMode,ignoreCarAvailability,true,true,False,False
changeMode,modeSwitchBehavior,fromSpecifiedModesToSpecifiedModes,fromSpecifiedModesToSpecifiedModes,False,False
changeMode,modes,"car,pt","car,pt",False,False
controller,cleanItersAtEnd,keep,keep,False,False
controller,compressionType,gzip,gzip,False,False
controller,createGraphsInterval,0,0,False,False
controller,createScoringFunctionType,IterationStarts,IterationStarts,False,False
controller,dumpDataAtEnd,true,true,False,False
controller,enableLinkToLinkRouting,false,false,False,False
controller,eventsFileFormat,xml,xml,False,False
controller,firstIteration,0,0,False,False
controller,lastIteration,19,19,False,False
controller,legDurationsInterval,1,1,False,False
controller,legHistogramInterval,1,1,False,False
controller,memoryObserverInterval,60,60,False,False
controller,mobsim,qsim,qsim,False,False
controller,outputDirectory,D:\Luan\2026-05\2_Singapore\reports\od_calibration_7_4_2\E06_lam0p075_cap1p00,D:\Luan\2026-05\2_Singapore\matsim_routechoice_7_6d\outputs\R01_rc_min,True,False
controller,overwriteFiles,deleteDirectoryIfExists,deleteDirectoryIfExists,False,False
controller,routingAlgorithmType,SpeedyALT,SpeedyALT,False,False
controller,runId,E06,R01_rc_min,True,False
controller,snapshotFormat,,,False,False
controller,writeEventsInterval,0,0,False,False
controller,writePlansInterval,0,0,False,False
controller,writeSnapshotsInterval,0,0,False,False
controller,writeTripsInterval,0,0,False,False
counts,analyzedModes,car,car,False,False
counts,averageCountsOverIterations,5,5,False,False
counts,countsScaleFactor,1.0,1.0,False,False
counts,distanceFilter,null,null,False,False
counts,distanceFilterCenterNode,null,null,False,False
counts,filterModes,false,false,False,False
counts,inputCRS,null,null,False,False
counts,inputCountsFile,null,null,False,False
counts,outputformat,txt,txt,False,False
counts,writeCountsInterval,10,10,False,False
dsim,endTime,24:00:00,24:00:00,False,False
dsim,linkDynamics,PassingQ,PassingQ,False,False
dsim,networkModes,car,car,False,False
dsim,partitioning,bisect,bisect,False,False
dsim,startTime,00:00:00,00:00:00,False,False
dsim,stuckTime,30.0,30.0,False,False
dsim,threads,0,0,False,False
dsim,trafficDynamics,kinematicWaves,kinematicWaves,False,False
dsim,vehicleBehavior,teleport,teleport,False,False
eventsManager,estimatedNumberOfEvents,null,null,False,False
eventsManager,eventsQueueSize,131072,131072,False,False
eventsManager,numberOfThreads,null,null,False,False
eventsManager,oneThreadPerHandler,false,false,False,False
eventsManager,synchronizeOnSimSteps,true,true,False,False
facilities,facilitiesSource,none,none,False,False
facilities,idPrefix,f_auto_,f_auto_,False,False
facilities,inputCRS,null,null,False,False
facilities,inputFacilitiesFile,null,null,False,False
facilities,inputFacilityAttributesFile,null,null,False,False
facilities,insistingOnUsingDeprecatedFacilitiesAttributeFile,false,false,False,False
global,coordinateSystem,EPSG:3414,EPSG:3414,False,False
global,defaultDelimiter,;,;,False,False
global,insistingOnDeprecatedConfigVersion,true,true,False,False
global,numberOfThreads,8,8,False,False
