module,param,baseline_value,new_value,changed,is_routechoice_patch,is_sampling_consistency
changeMode,ignoreCarAvailability,true,true,False,False,False
changeMode,modeSwitchBehavior,fromSpecifiedModesToSpecifiedModes,fromSpecifiedModesToSpecifiedModes,False,False,False
changeMode,modes,"car,pt","car,pt",False,False,False
controller,cleanItersAtEnd,keep,keep,False,False,False
controller,compressionType,gzip,gzip,False,False,False
controller,createGraphsInterval,0,0,False,False,False
controller,createScoringFunctionType,IterationStarts,IterationStarts,False,False,False
controller,dumpDataAtEnd,true,true,False,False,False
controller,enableLinkToLinkRouting,false,false,False,False,False
controller,eventsFileFormat,xml,xml,False,False,False
controller,firstIteration,0,0,False,False,False
controller,lastIteration,19,19,False,False,False
controller,legDurationsInterval,1,1,False,False,False
controller,legHistogramInterval,1,1,False,False,False
controller,memoryObserverInterval,60,60,False,False,False
controller,mobsim,qsim,qsim,False,False,False
controller,outputDirectory,D:\Luan\2026-05\2_Singapore\reports\od_calibration_7_4_2\E06_lam0p075_cap1p00,D:\Luan\2026-05\2_Singapore\matsim_routechoice_7_6d\outputs\S100k_rc_min,True,False,False
controller,overwriteFiles,deleteDirectoryIfExists,deleteDirectoryIfExists,False,False,False
controller,routingAlgorithmType,SpeedyALT,SpeedyALT,False,False,False
controller,runId,E06,S100k_rc_min,True,False,False
controller,snapshotFormat,,,False,False,False
controller,writeEventsInterval,0,0,False,False,False
controller,writePlansInterval,0,0,False,False,False
controller,writeSnapshotsInterval,0,0,False,False,False
controller,writeTripsInterval,0,0,False,False,False
counts,analyzedModes,car,car,False,False,False
counts,averageCountsOverIterations,5,5,False,False,False
counts,countsScaleFactor,1.0,1.0,False,False,False
counts,distanceFilter,null,null,False,False,False
counts,distanceFilterCenterNode,null,null,False,False,False
counts,filterModes,false,false,False,False,False
counts,inputCRS,null,null,False,False,False
counts,inputCountsFile,null,null,False,False,False
counts,outputformat,txt,txt,False,False,False
counts,writeCountsInterval,10,10,False,False,False
dsim,endTime,24:00:00,24:00:00,False,False,False
dsim,linkDynamics,PassingQ,PassingQ,False,False,False
dsim,networkModes,car,car,False,False,False
dsim,partitioning,bisect,bisect,False,False,False
dsim,startTime,00:00:00,00:00:00,False,False,False
dsim,stuckTime,30.0,30.0,False,False,False
dsim,threads,0,0,False,False,False
dsim,trafficDynamics,kinematicWaves,kinematicWaves,False,False,False
dsim,vehicleBehavior,teleport,teleport,False,False,False
eventsManager,estimatedNumberOfEvents,null,null,False,False,False
eventsManager,eventsQueueSize,131072,131072,False,False,False
eventsManager,numberOfThreads,null,null,False,False,False
eventsManager,oneThreadPerHandler,false,false,False,False,False
eventsManager,synchronizeOnSimSteps,true,true,False,False,False
facilities,facilitiesSource,none,none,False,False,False
facilities,idPrefix,f_auto_,f_auto_,False,False,False
facilities,inputCRS,null,null,False,False,False
facilities,inputFacilitiesFile,null,null,False,False,False
facilities,inputFacilityAttributesFile,null,null,False,False,False
facilities,insistingOnUsingDeprecatedFacilitiesAttributeFile,false,false,False,False,False
global,coordinateSystem,EPSG:3414,EPSG:3414,False,False,False
global,defaultDelimiter,;,;,False,False,False
global,insistingOnDeprecatedConfigVersion,true,true,False,False,False
global,numberOfThreads,8,8,False,False,False
global,randomSeed,4711,4711,False,False,False
hermes,endTime,30:00:00,30:00:00,False,False,False
hermes,flowCapacityFactor,1.0,1.0,False,False,False
hermes,mainMode,car,car,False,False,False
hermes,storageCapacityFactor,1.0,1.0,False,False,False
hermes,stuckTime,10,10,False,False,False
hermes,useDeterministicPt,false,false,False,False,False
households,inputFile,null,null,False,False,False
households,inputHouseholdAttributesFile,null,null,False,False,False
households,insistingOnUsingDeprecatedHouseholdsAttributeFile,false,false,False,False,False
linkStats,averageLinkStatsOverIterations,1,1,False,False,False
linkStats,writeLinkStatsInterval,1,1,False,False,False
network,inputCRS,null,null,False,False,False
network,inputChangeEventsFile,null,null,False,False,False
network,inputNetworkFile,D:\Luan\2026-05\2_Singapore\reports\matsim_network\network_cleaned.xml.gz,D:\Luan\2026-05\2_Singapore\reports\matsim_network\network_cleaned.xml.gz,False,False,False
network,laneDefinitionsFile,null,null,False,False,False
network,timeVariantNetwork,false,false,False,False,False
planInheritance,enabled,false,false,False,False,False
plans,activityDurationInterpretation,tryEndTimeThenDuration,tryEndTimeThenDuration,False,False,False
plans,handlingOfPlansWithoutRoutingMode,reject,reject,False,False,False
plans,inputCRS,null,null,False,False,False
plans,inputPersonAttributesFile,null,null,False,False,False
plans,inputPlansFile,D:\Luan\2026-05\2_Singapore\reports\matsim_departure_6_3_3a\population_lambda_0p075.xml.gz,D:\Luan\2026-05\2_Singapore\reports\matsim_departure_6_3_3a_s100k\population_lambda_0p075.xml.gz,True,False,False
plans,insistingOnUsingDeprecatedPersonAttributeFile,false,false,False,False,False
plans,networkRouteType,LinkNetworkRoute,LinkNetworkRoute,False,False,False
plans,removingUnnecessaryPlanAttributes,false,false,False,False,False
plans,tripDurationHandling,ignoreDelays,ignoreDelays,False,False,False
qsim,delayInstantTeleportationArrivals,true,true,False,False,False
qsim,endTime,undefined,undefined,False,False,False
qsim,filterSnapshots,no,no,False,False,False
qsim,flowCapacityFactor,1,0.5,True,False,True
qsim,insertingWaitingVehiclesBeforeDrivingVehicles,true,true,False,False,False
qsim,isRestrictingSeepage,true,true,False,False,False
qsim,isSeepModeStorageFree,false,false,False,False,False
qsim,linkDynamics,FIFO,FIFO,False,False,False
qsim,linkWidth,30.0,30.0,False,False,False
qsim,mainMode,car,car,False,False,False
qsim,nodeOffset,0.0,0.0,False,False,False
qsim,notifyAboutStuckVehicles,false,false,False,False,False
qsim,numberOfThreads,8,8,False,False,False
qsim,personInitializedEvents,none,none,False,False,False
qsim,removeStuckVehicles,false,false,False,False,False
qsim,seepMode,bike,bike,False,False,False
qsim,simEndtimeInterpretation,null,null,False,False,False
qsim,simStarttimeInterpretation,maxOfStarttimeAndEarliestActivityEnd,maxOfStarttimeAndEarliestActivityEnd,False,False,False
qsim,snapshotStyle,queue,queue,False,False,False
qsim,snapshotperiod,00:00:00,00:00:00,False,False,False
qsim,startTime,undefined,undefined,False,False,False
qsim,storageCapacityFactor,1,0.5,True,False,True
qsim,stuckTime,10.0,10.0,False,False,False
qsim,timeStepSize,00:00:01,00:00:01,False,False,False
qsim,trafficDynamics,queue,queue,False,False,False
qsim,useLanes,false,false,False,False,False
qsim,usePersonIdForMissingVehicleId,false,false,False,False,False
qsim,usingFastCapacityUpdate,true,true,False,False,False
qsim,vehicleBehavior,teleport,teleport,False,False,False
qsim,vehiclesSource,defaultVehicle,defaultVehicle,False,False,False
replanning,ExternalExeConfigTemplate,null,null,False,False,False
replanning,ExternalExeTimeOut,3600,3600,False,False,False
replanning,ExternalExeTmpFileRootDir,null,null,False,False,False
replanning,fractionOfIterationsToDisableInnovation,Infinity,0.8,True,True,False
replanning,maxAgentPlanMemorySize,5,5,False,False,False
replanning,planSelectorForRemoval,WorstPlanSelector,WorstPlanSelector,False,False,False
replanningAnnealer,activateAnnealingModule,false,false,False,False,False
routing,accessEgressType,accessEgressModeToLink,accessEgressModeToLink,False,False,False
routing,clearDefaultTeleportedModeParams,false,false,False,False,False
routing,networkModes,car,car,False,False,False
routing,networkRouteConsistencyCheck,abortOnInconsistency,abortOnInconsistency,False,False,False
routing,routingRandomness,0.0,0.0,False,True,False
scoring,brainExpBeta,1.0,1.0,False,False,False
scoring,fractionOfIterationsToStartScoreMSA,null,null,False,False,False
scoring,learningRate,1.0,0.5,True,True,False
scoring,pathSizeLogitBeta,1.0,1.0,False,False,False
scoring,usingOldScoringBelowZeroUtilityDuration,false,false,False,False,False
scoring,writeExperiencedPlans,true,true,False,False,False
scoring,writeScoreExplanations,false,false,False,False,False
subtourModeChoice,behavior,fromSpecifiedModesToSpecifiedModes,fromSpecifiedModesToSpecifiedModes,False,False,False
subtourModeChoice,chainBasedModes,"car,bike","car,bike",False,False,False
subtourModeChoice,considerCarAvailability,false,false,False,False,False
subtourModeChoice,coordDistance,0.0,0.0,False,False,False
subtourModeChoice,modes,"car,pt,bike,walk","car,pt,bike,walk",False,False,False
subtourModeChoice,probaForRandomSingleTripMode,0.0,0.0,False,False,False
timeAllocationMutator,latestActivityEndTime,86400.0,86400.0,False,False,False
timeAllocationMutator,mutateAroundInitialEndTimeOnly,false,false,False,False,False
timeAllocationMutator,mutationAffectsDuration,true,true,False,False,False
timeAllocationMutator,mutationRange,1800.0,1800.0,False,False,False
timeAllocationMutator,mutationRangeStep,1.0,1.0,False,False,False
transit,inputScheduleCRS,null,null,False,False,False
transit,insistingOnUsingDeprecatedAttributeFiles,false,false,False,False,False
transit,routingAlgorithmType,SwissRailRaptor,SwissRailRaptor,False,False,False
transit,transitLinesAttributesFile,null,null,False,False,False
