osm_id,name,type,other_tags
"274002",Foo Kim Lin Road,associatedStreet,
"274003",Teo Kim Eng Road,associatedStreet,
"274004",Jalan Rimau,associatedStreet,
"274005",Jalan Punai,associatedStreet,
"274006",Jalan Singa,associatedStreet,
"276508",Jalan Eunos,associatedStreet,
"277198",Jalan Tenaga,associatedStreet,
"278844",Jalan Damai,associatedStreet,
"421263",Marina Bay Street Circuit,circuit,"""wikidata""=>""Q171390"",""wikipedia""=>""en:Marina Bay Street Circuit"""
"2020090",,restriction,"""restriction""=>""only_left_turn"""
"2122495",Mimosa Crescent,associatedStreet,
"2122501",Mimosa Place,associatedStreet,
"2122510",Mimosa View,associatedStreet,
"2122515",Saraca Drive,associatedStreet,
"2122517",Saraca Road,associatedStreet,
"2122520",Mimosa Drive,associatedStreet,
"2122527",Mimosa Terrace,associatedStreet,
"2122562",Lilac Drive,associatedStreet,
"2122568",Lilac Walk,associatedStreet,
"2123400",Begonia Lane,associatedStreet,
"2123401",Begonia Walk,associatedStreet,
"2123404",Saraca View,associatedStreet,
"2123466",Tamarind Road,associatedStreet,
"2123548",Saraca Terrace,associatedStreet,
"2123592",Jalan Kayu,associatedStreet,
"2128271",Jalan Tari Dulang,associatedStreet,
"2128277",Jalan Tari Piring,associatedStreet,
"2128279",Jalan Tari Serimpi,associatedStreet,
"2128282",Jalan Tari Zapin,associatedStreet,
"2128287",Jalan Tari Payong,associatedStreet,
"2130916",Seletar Terrace,associatedStreet,
"2131252",Jalan Redop,associatedStreet,
"2132831",Jalan Kenarah,associatedStreet,
"2267670",Lor Sarina,associatedStreet,
"2306412",Bukit Pasoh Road,associatedStreet,
"2306414",Cantonment Road,associatedStreet,
"2306417",Jiak Chuan Road,associatedStreet,
"2306420",Keong Saik Road,associatedStreet,
"2306422",Kreta Ayer Road,associatedStreet,
"2306423",Mosque Street,associatedStreet,
"2306426",Neil Road,associatedStreet,
"2306437",Pagoda Street,associatedStreet,
"2306441",Sago Street,associatedStreet,
"2306443",Smith Street,associatedStreet,
"2306446",South Bridge Road,associatedStreet,
"2306453",Teck Lim Road,associatedStreet,
"2306457",Temple Street,associatedStreet,
"2306461",Teo Hong Road,associatedStreet,
"2306464",Trengganu Street,associatedStreet,
"2306465",Upper Cross Street,associatedStreet,
"2306607",Boat Quay,associatedStreet,
"2306612",Circular Road,associatedStreet,
"2306614",Lor Telok,associatedStreet,
"2306615",New Bridge Road,associatedStreet,
"2306617",Upper Circular Road,associatedStreet,
"2306900",Carpenter Street,associatedStreet,
"2306901",Hong Kong Street,associatedStreet,
"2306903",North Canal Road,associatedStreet,
"2306966",Club Street,associatedStreet,
"2307386",Blair Road,associatedStreet,
"2307387",Craig Road,associatedStreet,
"2307390",Duxton Hill,associatedStreet,
"2307393",Duxton Road,associatedStreet,
"2307397",Everton Road,associatedStreet,
"2307399",Kampong Bahru Road,associatedStreet,
"2307404",Spottiswoode Park Road,associatedStreet,
"2307406",Tanjong Pagar Road,associatedStreet,
"2308698",Ann Siang Road,associatedStreet,
"2308699",Erskine Road,associatedStreet,
"2308700",Peck Seah Street,associatedStreet,
